asset,market_id,windows,max_position_usd,enabled,matrix_valid,matrix_transitions,diag_mean,last_entry_price,last_exit_price,last_pnl
AMS_RAIN,AMS_RAIN,1h;6h,300,True,False,0,0.0,,,
AMS_STORM,AMS_STORM,1h;6h,300,True,False,0,0.0,,,
AMS_SUN,AMS_SUN,1h;6h,300,True,False,0,0.0,,,
AMS_WIND,AMS_WIND,1h;6h,300,True,False,0,0.0,,,
ATH_RAIN,ATH_RAIN,1h;6h,300,True,False,0,0.0,,,
ATH_STORM,ATH_STORM,1h;6h,300,True,False,0,0.0,,,
ATH_SUN,ATH_SUN,1h;6h,300,True,False,0,0.0,,,
ATH_WIND,ATH_WIND,1h;6h,300,True,False,0,0.0,,,
BER_RAIN,BER_RAIN,1h;6h,300,True,False,0,0.0,,,
BER_STORM,BER_STORM,1h;6h,300,True,False,0,0.0,,,
BER_SUN,BER_SUN,1h;6h,300,True,False,0,0.0,,,
BER_WIND,BER_WIND,1h;6h,300,True,False,0,0.0,,,
BRU_RAIN,BRU_RAIN,1h;6h,300,True,False,0,0.0,,,
BRU_STORM,BRU_STORM,1h;6h,300,True,False,0,0.0,,,
BRU_SUN,BRU_SUN,1h;6h,300,True,False,0,0.0,,,
BRU_WIND,BRU_WIND,1h;6h,300,True,False,0,0.0,,,
BTC,BTC_5M,5m,1000,True,False,0,0.0,0.6316,,
BUD_RAIN,BUD_RAIN,1h;6h,300,True,False,0,0.0,,,
BUD_STORM,BUD_STORM,1h;6h,300,True,False,0,0.0,,,
BUD_SUN,BUD_SUN,1h;6h,300,True,False,0,0.0,,,
BUD_WIND,BUD_WIND,1h;6h,300,True,False,0,0.0,,,
CPH_RAIN,CPH_RAIN,1h;6h,300,True,False,0,0.0,,,
CPH_STORM,CPH_STORM,1h;6h,300,True,False,0,0.0,,,
CPH_SUN,CPH_SUN,1h;6h,300,True,False,0,0.0,,,
CPH_WIND,CPH_WIND,1h;6h,300,True,False,0,0.0,,,
DUB_RAIN,DUB_RAIN,1h;6h,300,True,False,0,0.0,,,
DUB_STORM,DUB_STORM,1h;6h,300,True,False,0,0.0,,,
DUB_SUN,DUB_SUN,1h;6h,300,True,False,0,0.0,,,
DUB_WIND,DUB_WIND,1h;6h,300,True,False,0,0.0,,,
ETH,ETH_1H,5m;1h;6h,1000,True,False,0,0.0,0.5778,,
HEL_RAIN,HEL_RAIN,1h;6h,300,True,False,0,0.0,,,
HEL_STORM,HEL_STORM,1h;6h,300,True,False,0,0.0,,,
HEL_SUN,HEL_SUN,1h;6h,300,True,False,0,0.0,,,
HEL_WIND,HEL_WIND,1h;6h,300,True,False,0,0.0,,,
HYPERLIQUID,HL_1H,5m;1h;6h,800,True,False,0,0.0,,,
LIS_RAIN,LIS_RAIN,1h;6h,300,True,False,0,0.0,,,
LIS_STORM,LIS_STORM,1h;6h,300,True,False,0,0.0,,,
LIS_SUN,LIS_SUN,1h;6h,300,True,False,0,0.0,,,
LIS_WIND,LIS_WIND,1h;6h,300,True,False,0,0.0,,,
LON_RAIN,LON_RAIN,1h;6h,300,True,False,0,0.0,,,
LON_STORM,LON_STORM,1h;6h,300,True,False,0,0.0,,,
LON_SUN,LON_SUN,1h;6h,300,True,False,0,0.0,,,
LON_WIND,LON_WIND,1h;6h,300,True,False,0,0.0,,,
MAD_RAIN,MAD_RAIN,1h;6h,300,True,False,0,0.0,,,
MAD_STORM,MAD_STORM,1h;6h,300,True,False,0,0.0,,,
MAD_SUN,MAD_SUN,1h;6h,300,True,False,0,0.0,,,
MAD_WIND,MAD_WIND,1h;6h,300,True,False,0,0.0,,,
OSL_RAIN,OSL_RAIN,1h;6h,300,True,False,0,0.0,,,
OSL_STORM,OSL_STORM,1h;6h,300,True,False,0,0.0,,,
OSL_SUN,OSL_SUN,1h;6h,300,True,False,0,0.0,,,
OSL_WIND,OSL_WIND,1h;6h,300,True,False,0,0.0,,,
PAR_RAIN,PAR_RAIN,1h;6h,300,True,False,0,0.0,,,
PAR_STORM,PAR_STORM,1h;6h,300,True,False,0,0.0,,,
PAR_SUN,PAR_SUN,1h;6h,300,True,False,0,0.0,,,
PAR_WIND,PAR_WIND,1h;6h,300,True,False,0,0.0,,,
PRG_RAIN,PRG_RAIN,1h;6h,300,True,False,0,0.0,,,
PRG_STORM,PRG_STORM,1h;6h,300,True,False,0,0.0,,,
